1400571114414297090,kattsin,1395658532985450499,2021-06-03 21:52:29+00:00,"RT @Crypto_novae:  Prepare for Beta! 

Become one of 300 exclusive Beta testers!

$YAE #cryptocurrency #BSC #ETH 

https://t.co/SI1QRtew2A","['cryptocurrency', 'BSC', 'ETH']",,http://pbs.twimg.com/profile_images/1395658729454981121/0OACqcQv_normal.jpg,0,,0,False,0,Fri May 21 08:31:44 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571117161664514,ClinicHelpers,1272715458035224576,2021-06-03 21:52:30+00:00,@Crypto_novae It's great so big and good project wow super excellent iam so happy for this big Giveaway Smiling fac... https://t.co/Ja6fDS99bD,[],,http://pbs.twimg.com/profile_images/1363439561251110918/c4o6cvmg_normal.jpg,0,,0,False,18,Tue Jun 16 02:28:19 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571118851874819,StefanDziu,2549735088,2021-06-03 21:52:30+00:00,"RT @CryptoDruzy: I really advise everyone out here in the #cryptospace to checkout @FabweltToken 

For more info on @FabweltToken 
Teleg...",['cryptospace'],,http://pbs.twimg.com/profile_images/1371973244329332737/TRckv6Kz_normal.jpg,0,Mond,0,False,345,Fri Jun 06 10:48:27 +0000 2014,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571129505497090,bscair21bb,1391700310226259968,2021-06-03 21:52:33+00:00,"RT @InsiderToken: 100.000.000 $NSD GIVEAWAY

To Join:
 Follow @InsiderToken 
 RT this &amp;  pinned tweet 
 Join https://t.co/qwUUR6MoOZ

#...",[],,http://pbs.twimg.com/profile_images/1396016684327133185/GUBI9xtY_normal.jpg,0,,0,False,53,Mon May 10 10:25:00 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571143539544071,LebardyKamal,953307975338381312,2021-06-03 21:52:36+00:00,"RT @Benzinga: Why Dogecoin Can Hit 75 Cents Again, According To @MattWallace888 

https://t.co/y8k2XRJQvc",[],,http://pbs.twimg.com/profile_images/1395869508741607429/07LvCBnd_normal.jpg,0,,0,False,22,Tue Jan 16 16:48:27 +0000 2018,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1400571147519934466,Kevin_B_Crypto,1393361059675840514,2021-06-03 21:52:37+00:00,"RT @premiumsann: What $Shib is next in line for a pump?

$PHIBA $DOGE $AKITA $SHIBA $PIKA $KISHU $SAFE $ELON
#cryptocurrency #cryptomoonsh...",['cryptocurrency'],,http://pbs.twimg.com/profile_images/1393361276634533888/Itnltx4P_normal.jpg,0,,0,False,5,Sat May 15 00:22:30 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571147855540225,toufuguy,848747598,2021-06-03 21:52:37+00:00,RT @smdiehl: Let's talk about market manipulation and how the cryptocurrency exchange ecosystem is an unregulated cesspit. (1/) ,[],,http://pbs.twimg.com/profile_images/1143362762984181760/nICL-5tn_normal.png,0,"Berkeley, CA",0,False,159,Thu Sep 27 06:16:16 +0000 2012,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1400571152150384642,RumiAzad2,1301106061865172992,2021-06-03 21:52:38+00:00,"RT @SpartanCasino: EXCITING NEWS!!
$WAR is officially listed on Bithumb Global. Token holders can now join the ""Deposit &amp; Trading WAR, WIN...",[],,http://pbs.twimg.com/profile_images/1398510675647811584/adHnZWUH_normal.jpg,0,"New Delhi, India",0,False,320,Wed Sep 02 10:34:17 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1400571157317828610,Anna75850401,1283924149937872897,2021-06-03 21:52:39+00:00,"RT @MILCplatform: Stunning summary! 

Thanks for your support  

#MILC $MLT https://t.co/tkVleEgwgR",['MILC'],,http://pbs.twimg.com/profile_images/1283926800402395145/G8b1jtvl_normal.jpg,0,,0,False,32,Fri Jul 17 00:39:17 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1400571162745131008,aditnunu1,1388365637492244488,2021-06-03 21:52:41+00:00,"RT @AirdropStario:  CryptoTV Airdrop

 Task:            Up to 10 CTV

 Referral:    1 CTV

 Airdrop Link &amp; Information: https://...",[],,http://pbs.twimg.com/profile_images/1388365809722925056/RE1UdjQ0_normal.jpg,0,,0,False,5,Sat May 01 05:32:31 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
